timestamp,asset_id,asset_type,temperature,vibration,pressure,voltage,current,rpm,torque,tool_wear,fault_status,fault_type,source_dataset,Normalized_Temp,Normalized_Vibration,Normalized_Pressure,Normalized_Voltage,Normalized_Current,FFT_Feature1,FFT_Feature2,Anomaly_Score
2015-03-01 00:00:00,M14860,CNC / Milling Tool,35.450000000000045,2.037612530367553,5.90270466405746,413.51768841879374,14.963432198941321,1551,42.8,0,0,None,ai4i2020.csv,0.3580246913580279,0.10573516097624282,0.3536326696553043,0.4107638822911047,0.5370687680712709,0.06184761760162185,0.04285505781310773,0.03599919644760374
2015-03-01 00:01:00,L47181,CNC / Milling Tool,35.55000000000001,1.7663882354545541,6.097317614881559,410.119516147536,16.260513363610016,1408,46.3,3,0,None,ai4i2020.csv,0.37037037037036935,0.04718587179386329,0.6077659798691175,0.22092756542925507,0.5882326453609636,0.034814760863719076,0.02149477684842188,0.3139033594131727
2015-03-01 00:02:00,L47182,CNC / Milling Tool,35.35000000000002,2.0265634865744455,5.889307914332894,414.9477807289757,17.336636386972216,1498,49.4,5,0,None,ai4i2020.csv,0.34567901234567944,0.10334999979280625,0.3361386625031957,0.49065490466029066,0.6306807417605287,0.10058458937526449,0.018349251921763503,0.040401199660458464
2015-03-01 00:03:00,L47183,CNC / Milling Tool,35.450000000000045,1.8787007378945588,6.132353004817489,413.68730828051,13.765054440145661,1433,39.5,7,0,None,ai4i2020.csv,0.3580246913580279,0.07143081336985992,0.6535165816730901,0.4202395672312675,0.489798285492504,0.02035613964942178,0.021260003575378005,0.12000678282808273
2015-03-01 00:04:00,L47184,CNC / Milling Tool,35.55000000000001,1.9062942514845458,6.044929750064834,411.80749352507814,13.994231205823954,1408,40.0,9,0,None,ai4i2020.csv,0.37037037037036935,0.07738743538728021,0.5393558281061882,0.3152251415142143,0.4988382532572104,0.05827420417245986,0.022041467807893615,0.1257127052740128
2015-03-01 00:05:00,M14865,CNC / Milling Tool,35.450000000000045,1.8464567803319691,6.126493767905419,416.02176123126264,14.758670783762945,1425,41.9,11,0,None,ai4i2020.csv,0.3580246913580279,0.06447029828649688,0.6458653577155589,0.5506520109459377,0.5289918734210226,0.06160378191992326,0.027490197275099847,0.14657471015969473
2015-03-01 00:06:00,L47186,CNC / Milling Tool,35.450000000000045,2.041680559777462,6.010372975914116,416.2930552357422,14.917282278507972,1558,42.4,14,0,None,ai4i2020.csv,0.3580246913580279,0.1066133279944282,0.49423022177811443,0.5658076447649493,0.5352483662874056,0.06573240306493498,0.016038410751622198,0.030797076240956442
2015-03-01 00:07:00,L47187,CNC / Milling Tool,35.450000000000045,2.054056075436474,6.033985559805661,416.04807697453543,14.049568593375723,1527,40.2,16,0,None,ai4i2020.csv,0.3580246913580279,0.1092848351517534,0.5250644703810423,0.5521221199868014,0.5010210582992942,0.1039955935090733,0.036147352797871644,0.018633904356854553
2015-03-01 00:08:00,M14868,CNC / Milling Tool,35.55000000000001,2.026207336532778,5.908510671707683,415.22618871362215,10.000038442080031,1667,28.6,18,0,None,ai4i2020.csv,0.37037037037036935,0.10327311755115973,0.3612143847314587,0.5062079555862956,0.34128574690517266,0.0725617964402074,0.03099063282678378,0.0714201938996979
2015-03-01 00:09:00,M14869,CNC / Milling Tool,35.85000000000002,2.1288138202778497,5.919965705542937,410.48945904903366,9.83627581315076,1741,28.0,21,0,None,ai4i2020.csv,0.40740740740740766,0.12542281727000082,0.37617282226008764,0.24159414506781754,0.3348260655225393,0.11592537799513633,0.02620235860490505,0.2802827860047654
